1	13736124857	192.168.100.1	www.baidu.com	2481	24681	200
2	13736124857	192.168.100.2	www.baidu.com	2561	21	200
3	18212346589	192.168.100.2	www.baidu.com	29961	2986	200
4	18212346589	192.168.100.3	www.baidu.com	2961	21986	200
5	18712346589	192.168.100.4	www.baidu.com	29261	2186	200
6	18712346589	192.168.100.4	www.baidu.com	261	2186	200
7	18712346589	192.168.100.4	www.baidu.com	2261	216	200
8	18712346589	192.168.100.4	www.baidu.com	2921	286	200
9	18712346589	192.168.100.4	www.baidu.com	61	2186	200
10	18712346589	192.168.100.4	www.baidu.com	21	2186	200
11	18712346589	192.168.100.4	www.baidu.com	261	216	200
12	18712346589	192.168.100.4	www.baidu.com	291	2186	200
13	18712346589	192.168.100.4	www.baidu.com	261	186	200
14	18712346589	192.168.100.4	www.baidu.com	2926	186	200
15	18712346589	192.168.100.4	www.baidu.com	2926	218	200
